Title,Rating,Year,Duration,Votes,Director,MetaScore,Description,Rating Category,Predicted Rating Category
1. Гражданин Кейн,8.3,,N/A,474000,Unknown,100.0,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Excellent,Excellent
2. Крестный отец,9.2,,N/A,1000000,Unknown,100.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Excellent,Excellent
3. 12 разгневанных мужчин,9.0,,N/A,895000,Unknown,97.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Excellent,Excellent
4. Касабланка,8.5,,N/A,619000,Unknown,100.0,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Excellent,Excellent
5. Страсти Жанны д'Арк,8.1,,N/A,63000,Unknown,98.0,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Excellent,Excellent
6. Огни большого города,8.5,,N/A,201000,Unknown,99.0,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Excellent,Excellent
7. Головокружение,8.3,,N/A,437000,Unknown,100.0,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Excellent,Excellent
8. Семь самураев,8.6,,N/A,376000,Unknown,98.0,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Excellent,Excellent
9. Восход солнца,8.1,,N/A,55000,Unknown,95.0,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment.",Excellent,Excellent
10. Крестный отец 2,9.0,,N/A,4000000,Unknown,90.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Excellent,Excellent
11. Эта замечательная жизнь,8.6,,N/A,510000,Unknown,89.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Excellent,Excellent
12. Окно во двор,8.5,,N/A,535000,Unknown,100.0,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,Excellent,Excellent
13. Психо,8.5,,N/A,737000,Unknown,97.0,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,Excellent,Excellent
14. Метрополис,8.3,,N/A,190000,Unknown,98.0,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Excellent,Excellent
15. Сансет бульвар,8.4,,N/A,243000,Unknown,94.0,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Excellent,Excellent
16. Человек с киноаппаратом,8.3,,N/A,29000,Unknown,96.0,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",Excellent,Excellent
17. Токийская повесть,8.1,,N/A,71000,Unknown,100.0,"An old couple visit their children and grandchildren in the city, but receive little attention.",Excellent,Excellent
18. Поющие под дождем,8.3,,N/A,267000,Unknown,99.0,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Excellent,Excellent
19. Квартира,8.3,,N/A,202000,Unknown,94.0,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Excellent,Excellent
20. Лоуренс Аравийский,8.3,,N/A,322000,Unknown,100.0,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Excellent,Excellent
"21. Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",8.3,,N/A,529000,Unknown,97.0,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Excellent,Excellent
"22. Хороший, плохой, злой",8.8,,N/A,832000,Unknown,90.0,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Excellent,Excellent
23. М убийца,8.3,,N/A,173000,Unknown,0.0,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Excellent,Excellent
24. Пролетая над гнездом кукушки,8.7,,N/A,1000000,Unknown,84.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Excellent,Excellent
25. Третий человек,8.1,,N/A,186000,Unknown,97.0,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Excellent,Excellent
26. Новые времена,8.5,,N/A,266000,Unknown,96.0,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Excellent,Excellent
27. Всё о Еве,8.2,,N/A,142000,Unknown,98.0,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Excellent,Excellent
28. Рай и ад,8.4,,N/A,56000,Unknown,90.0,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Excellent,Excellent
29. Броненосец «Потемкин»,7.9,,N/A,62000,Unknown,97.0,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",Good,Good
30. Двойная страховка,8.3,,N/A,171000,Unknown,95.0,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Excellent,Excellent
31. Апокалипсис сегодня,8.4,,N/A,726000,Unknown,94.0,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Excellent,Excellent
